city,year,crime,incidences,rate
Bengaluru,2014,Cheating,373,4.4
Bengaluru,2014,Riots Others (excluding previous columns),107,1.3
Bhopal,2014,Cheating,41,2.2
Bhopal,2014,Riots Others (excluding previous columns),20,1.1
Chandigarh City,2014,Cheating,25,2.4
Chandigarh City,2014,Riots Others (excluding previous columns),22,2.1
Chennai,2014,Cheating,118,1.4
Chennai,2014,Riots Others (excluding previous columns),6,0.1
Coimbatore,2014,Cheating,25,1.2
Coimbatore,2014,Riots Others (excluding previous columns),8,0.4
Delhi (City),2014,Cheating,119,0.7
Delhi (City),2014,Riots Others (excluding previous columns),593,3.6
Dhanbad,2014,Cheating,57,4.8
Dhanbad,2014,Riots Others (excluding previous columns),68,5.7
Durg-Bhilainagar,2014,Cheating,34,3.2
Durg-Bhilainagar,2014,Riots Others (excluding previous columns),13,1.2
Faridabad,2014,Cheating,0,0
Faridabad,2014,Riots Others (excluding previous columns),200,14.2
Ghaziabad,2014,Cheating,37,1.6
Ghaziabad,2014,Riots Others (excluding previous columns),125,5.3
Gwalior,2014,Cheating,68,6.2
Gwalior,2014,Riots Others (excluding previous columns),51,4.6
Flyderabad,2014,Cheating,29,0.4
Flyderabad,2014,Riots Others (excluding previous columns),97,1.3
Indore,2014,Cheating,47,2.2
Indore,2014,Riots Others (excluding previous columns),30,1.4
Jabalpur,2014,Cheating,37,2.9
Jabalpur,2014,Riots Others (excluding previous columns),7,0.6
Jaipur,2014,Cheating,66,2.1
Jaipur,2014,Riots Others (excluding previous columns),320,10.4
Jamshedpur,2014,Cheating,82,6.1
Jamshedpur,2014,Riots Others (excluding previous columns),101,7.6
Jodhpur,2014,Cheating,3,0.3
Jodhpur,2014,Riots Others (excluding previous columns),14,1.2
Kannur,2014,Cheating,163,9.9
Kannur,2014,Riots Others (excluding previous columns),2,0.1
Kanpur,2014,Cheating,97,3.3
Kanpur,2014,Riots Others (excluding previous columns),125,4.3
Kochi,2014,Cheating,57,2.7
Kochi,2014,Riots Others (excluding previous columns),IB,0.7
Kolkata,2014,Cheating,315,2.2
Kolkata,2014,Riots Others (excluding previous columns),338,2.4
Kollam,2014,Cheating,276,24.9
Kollam,2014,Riots Others (excluding previous columns),9,0.8
Kota,2014,Cheating,0,0
Kota,2014,Riots Others (excluding previous columns),9,0.9
Kozhikode,2014,Cheating,189,9.3
Kozhikode,2014,Riots Others (excluding previous columns),34,1.7
Lucknow,2014,Cheating,65,2.2
Lucknow,2014,Riots Others (excluding previous columns),459,15.8
Ludhiana,2014,Cheating,0,0
Ludhiana,2014,Riots Others (excluding previous columns),29,1.8
Madurai,2014,Cheating,23,1.6
Madurai,2014,Riots Others (excluding previous columns),8,0.5
Malappuram,2014,Cheating,154,9.1
Malappuram,2014,Riots Others (excluding previous columns),4,0.2
Meerut,2014,Cheating,153,10.7
Meerut,2014,Riots Others (excluding previous columns),67,4.7
Mumbai,2014,Cheating,400,2.2
Mumbai,2014,Riots Others (excluding previous columns),672,3.6
Nagpur,2014,Cheating,147,5.9
Nagpur,2014,Riots Others (excluding previous columns),52,2.1
Nasik,2014,Cheating,63,4
Nasik,2014,Riots Others (excluding previous columns),26,1.7
Patna,2014,Cheating,470,23
Patna,2014,Riots Others (excluding previous columns),60,2.9
Pune,2014,Cheating,238,4.7
Pune,2014,Riots Others (excluding previous columns),70,1.4
Raipur,2014,Cheating,43,3.8
Raipur,2014,Riots Others (excluding previous columns),29,2.6
Rajkot,2014,Cheating,61,4.4
Rajkot,2014,Riots Others (excluding previous columns),70,5
Ranchi,2014,Cheating,47,4.2
Ranchi,2014,Riots Others (excluding previous columns),32,2.8
Srinagar,2014,Cheating,130,10.2
Srinagar,2014,Riots Others (excluding previous columns),9,0.7
Surat,2014,Cheating,30,0.7
Surat,2014,Riots Others (excluding previous columns),26,0.6
Thiruvananthapuram,2014,Cheating,226,13.4
Thiruvananthapuram,2014,Riots Others (excluding previous columns),19,1.1
Thrissur,2014,Cheating,73,3.9
Thrissur,2014,Riots Others (excluding previous columns),14,0.8
Tiruch irapalli,2014,Cheating,10,1
Tiruch irapalli,2014,Riots Others (excluding previous columns),0,0
Vadodara,2014,Cheating,41,2.3
Vadodara,2014,Riots Others (excluding previous columns),18,1
Varanasi,2014,Cheating,34,2.4
Varanasi,2014,Riots Others (excluding previous columns),124,8.6
Vasai Virar,2014,Cheating,95,7.8
Vasai Virar,2014,Riots Others (excluding previous columns),28,2.3
Vijayawada,2014,Cheating,2,0.1
Vijayawada,2014,Riots Others (excluding previous columns),68,4.6
Vishakhapatnam,2014,Cheating,0,0
Vishakhapatnam,2014,Riots Others (excluding previous columns),71,4.1
Agra,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Agra,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.3
Ahmedabad,2014,Counterfeiting Government Stamp (Section 255 IPC),5,0.1
Ahmedabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",11,0.2
Allahabad,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Allahabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.5
Amritsar,2014,Counterfeiting Government Stamp (Section 255 IPC),2,0.2
Amritsar,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Asansol,2014,Counterfeiting Government Stamp (Section 255 IPC),68,5.5
Asansol,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Aurangabad,2014,Counterfeiting Government Stamp (Section 255 IPC),4,0.3
Aurangabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Bengaluru,2014,Counterfeiting Government Stamp (Section 255 IPC),43,0.5
Bengaluru,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",29,0.3
Bhopal,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.2
Bhopal,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",5,0.3
Chandigarh City,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.3
Chandigarh City,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0
Chennai,2014,Counterfeiting Government Stamp (Section 255 IPC),67,0.8
Chennai,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",74,0.9
Coimbatore,2014,Counterfeiting Government Stamp (Section 255 IPC),1,0
Coimbatore,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.1
Delhi (City),2014,Counterfeiting Government Stamp (Section 255 IPC),354,2.2
Delhi (City),2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",72,0.4
Dhanbad,2014,Counterfeiting Government Stamp (Section 255 IPC),24,2
Dhanbad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0.1
Durg-Bhilainagar,2014,Counterfeiting Government Stamp (Section 255 IPC),1,0.1
Durg-Bhilainagar,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.6
Faridabad,2014,Counterfeiting Government Stamp (Section 255 IPC),107,7.6
Faridabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",4,0.3
Ghaziabad,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Ghaziabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0
Gwalior,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.3
Gwalior,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0
Flyderabad,2014,Counterfeiting Government Stamp (Section 255 IPC),43,0.6
Flyderabad,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",37,0.5
Indore,2014,Counterfeiting Government Stamp (Section 255 IPC),47,2.2
Indore,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",5,0.2
Jabalpur,2014,Counterfeiting Government Stamp (Section 255 IPC),9,0.7
Jabalpur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Jaipur,2014,Counterfeiting Government Stamp (Section 255 IPC),1,0
Jaipur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.2
Jamshedpur,2014,Counterfeiting Government Stamp (Section 255 IPC),41,3.1
Jamshedpur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",0,0
Jodhpur,2014,Counterfeiting Government Stamp (Section 255 IPC),532,46.7
Jodhpur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Kannur,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Kannur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0.1
Kanpur,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Kanpur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.2
Kochi,2014,Counterfeiting Government Stamp (Section 255 IPC),1,0
Kochi,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",3,0.1
Kolkata,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Kolkata,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",24,0.2
Kollam,2014,Counterfeiting Government Stamp (Section 255 IPC),14,1.3
Kollam,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Kota,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Kota,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Kozhikode,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.1
Kozhikode,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",9,0.4
Lucknow,2014,Counterfeiting Government Stamp (Section 255 IPC),44,1.5
Lucknow,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",7,0.2
Ludhiana,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Ludhiana,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0.1
Madurai,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Madurai,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",27,1.8
Malappuram,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Malappuram,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0.1
Meerut,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Meerut,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",6,0.4
Mumbai,2014,Counterfeiting Government Stamp (Section 255 IPC),980,5.3
Mumbai,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",39,0.2
Nagpur,2014,Counterfeiting Government Stamp (Section 255 IPC),2,0.1
Nagpur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",3,0.1
Nasik,2014,Counterfeiting Government Stamp (Section 255 IPC),1,0.1
Nasik,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",12,0.8
Patna,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Patna,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",1,0
Pune,2014,Counterfeiting Government Stamp (Section 255 IPC),8,0.2
Pune,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",14,0.3
Raipur,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Raipur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",3,0.3
Rajkot,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.2
Rajkot,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",3,0.2
Ranchi,2014,Counterfeiting Government Stamp (Section 255 IPC),55,4.9
Ranchi,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Srinagar,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Srinagar,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",5,0.4
Surat,2014,Counterfeiting Government Stamp (Section 255 IPC),18,0.4
Surat,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",7,0.2
Thiruvananthapuram,2014,Counterfeiting Government Stamp (Section 255 IPC),23,1.4
Thiruvananthapuram,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",14,0.8
Thrissur,2014,Counterfeiting Government Stamp (Section 255 IPC),4,0.2
Thrissur,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",3,0.2
Tiruch irapalli,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Tiruch irapalli,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",2,0.2
Vadodara,2014,Counterfeiting Government Stamp (Section 255 IPC),9,0.5
Vadodara,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",4,0.2
Varanasi,2014,Counterfeiting Government Stamp (Section 255 IPC),0,0
Varanasi,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",5,0.3
Vasai Virar,2014,Counterfeiting Government Stamp (Section 255 IPC),11,0.9
Vasai Virar,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",10,0.8
Vijayawada,2014,Counterfeiting Government Stamp (Section 255 IPC),46,3.1
Vijayawada,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",12,0.8
Vishakhapatnam,2014,Counterfeiting Government Stamp (Section 255 IPC),3,0.2
Vishakhapatnam,2014,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",7,0.4
Agra,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.3
Agra,2014,Counterfeit Currency & Bank Notes Total,6,0.3
Ahmedabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",11,0.2
Ahmedabad,2014,Counterfeit Currency & Bank Notes Total,2,0
Allahabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.5
Allahabad,2014,Counterfeit Currency & Bank Notes Total,6,0.5
Amritsar,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Amritsar,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Asansol,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Asansol,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Aurangabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Aurangabad,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Bengaluru,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",29,0.3
Bengaluru,2014,Counterfeit Currency & Bank Notes Total,13,0.2
Bhopal,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",5,0.3
Bhopal,2014,Counterfeit Currency & Bank Notes Total,0,0
Chandigarh City,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",0,0
Chandigarh City,2014,Counterfeit Currency & Bank Notes Total,0,0
Chennai,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",74,0.9
Chennai,2014,Counterfeit Currency & Bank Notes Total,0,0
Coimbatore,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.1
Coimbatore,2014,Counterfeit Currency & Bank Notes Total,0,0
Delhi (City),2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",71,0.4
Delhi (City),2014,Counterfeit Currency & Bank Notes Total,5,0
Dhanbad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",1,0.1
Dhanbad,2014,Counterfeit Currency & Bank Notes Total,1,0.1
Durg-Bhilainagar,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.6
Durg-Bhilainagar,2014,Counterfeit Currency & Bank Notes Total,0,0
Faridabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",4,0.3
Faridabad,2014,Counterfeit Currency & Bank Notes Total,0,0
Ghaziabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",1,0
Ghaziabad,2014,Counterfeit Currency & Bank Notes Total,1,0
Gwalior,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",0,0
Gwalior,2014,Counterfeit Currency & Bank Notes Total,0,0
Flyderabad,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",37,0.5
Flyderabad,2014,Counterfeit Currency & Bank Notes Total,6,0.1
Indore,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",5,0.2
Indore,2014,Counterfeit Currency & Bank Notes Total,4,0.2
Jabalpur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Jabalpur,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Jaipur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.2
Jaipur,2014,Counterfeit Currency & Bank Notes Total,1,0
Jamshedpur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",0,0
Jamshedpur,2014,Counterfeit Currency & Bank Notes Total,0,0
Jodhpur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Jodhpur,2014,Counterfeit Currency & Bank Notes Total,0,0
Kannur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",1,0.1
Kannur,2014,Counterfeit Currency & Bank Notes Total,0,0
Kanpur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.2
Kanpur,2014,Counterfeit Currency & Bank Notes Total,6,0.2
Kochi,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",3,0.1
Kochi,2014,Counterfeit Currency & Bank Notes Total,3,0.1
Kolkata,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",24,0.2
Kolkata,2014,Counterfeit Currency & Bank Notes Total,19,0.1
Kollam,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Kollam,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Kota,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Kota,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Kozhikode,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",9,0.4
Kozhikode,2014,Counterfeit Currency & Bank Notes Total,7,0.3
Lucknow,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",7,0.2
Lucknow,2014,Counterfeit Currency & Bank Notes Total,3,0.1
Ludhiana,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",1,0.1
Ludhiana,2014,Counterfeit Currency & Bank Notes Total,1,0.1
Madurai,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",27,1.8
Madurai,2014,Counterfeit Currency & Bank Notes Total,27,1.8
Malappuram,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",1,0.1
Malappuram,2014,Counterfeit Currency & Bank Notes Total,1,0.1
Meerut,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",6,0.4
Meerut,2014,Counterfeit Currency & Bank Notes Total,6,0.4
Mumbai,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",39,0.2
Mumbai,2014,Counterfeit Currency & Bank Notes Total,26,0.1
Nagpur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",3,0.1
Nagpur,2014,Counterfeit Currency & Bank Notes Total,3,0.1
Nasik,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",12,0.8
Nasik,2014,Counterfeit Currency & Bank Notes Total,11,0.7
Patna,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",0,0
Patna,2014,Counterfeit Currency & Bank Notes Total,0,0
Pune,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",14,0.3
Pune,2014,Counterfeit Currency & Bank Notes Total,14,0.3
Raipur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",3,0.3
Raipur,2014,Counterfeit Currency & Bank Notes Total,3,0.3
Rajkot,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",3,0.2
Rajkot,2014,Counterfeit Currency & Bank Notes Total,0,0
Ranchi,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Ranchi,2014,Counterfeit Currency & Bank Notes Total,0,0
Srinagar,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",5,0.4
Srinagar,2014,Counterfeit Currency & Bank Notes Total,5,0.4
Surat,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",7,0.2
Surat,2014,Counterfeit Currency & Bank Notes Total,4,0.1
Thiruvananthapuram,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",14,0.8
Thiruvananthapuram,2014,Counterfeit Currency & Bank Notes Total,0,0
Thrissur,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",3,0.2
Thrissur,2014,Counterfeit Currency & Bank Notes Total,3,0.2
Tiruch irapalli,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",2,0.2
Tiruch irapalli,2014,Counterfeit Currency & Bank Notes Total,2,0.2
Vadodara,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",4,0.2
Vadodara,2014,Counterfeit Currency & Bank Notes Total,4,0.2
Varanasi,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",5,0.3
Varanasi,2014,Counterfeit Currency & Bank Notes Total,5,0.3
Vasai Virar,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",10,0.8
Vasai Virar,2014,Counterfeit Currency & Bank Notes Total,0,0
Vijayawada,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",12,0.8
Vijayawada,2014,Counterfeit Currency & Bank Notes Total,0,0
Vishakhapatnam,2014,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",7,0.4
Vishakhapatnam,2014,Counterfeit Currency & Bank Notes Total,7,0.4
Agra,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Agra,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Ahmedabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),8,0.1
Ahmedabad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Allahabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Allahabad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Amritsar,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Amritsar,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Asansol,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Asansol,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Aurangabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Aurangabad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Bengaluru,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),2,0
Bengaluru,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Bhopal,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Bhopal,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),5,0.3
Chandigarh City,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Chandigarh City,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Chennai,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Chennai,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Coimbatore,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),2,0.1
Coimbatore,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Delhi (City),2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),61,0.4
Delhi (City),2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Dhanbad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Dhanbad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Durg-Bhilainagar,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Durg-Bhilainagar,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Faridabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Faridabad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Ghaziabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Ghaziabad,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Gwalior,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),0,0
Gwalior,2014,Making or Possessing Materials for Forged or Counterfeiting Currency / Bank Notes (Section 489D IPC),0,0
Flyderabad,2014,Making or Using Documents Resembling Currency Notes / Bank Notes (Section 489- E IPC),5,0.1
